Ticker,Year,Month,Monthly_Return_Percentage,Date
MA,2019,11,4.706973107963443,2019-11-01
MA,2019,12,2.2089365771946716,2019-12-01
MA,2020,1,5.828799895854813,2020-01-01
MA,2020,2,-7.946852868333776,2020-02-01
MA,2020,3,-18.128054690109437,2020-03-01
MA,2020,4,18.067353614962123,2020-04-01
MA,2020,5,11.80488644593475,2020-05-01
MA,2020,6,0.5735718525326087,2020-06-01
MA,2020,7,2.6593684640270876,2020-07-01
MA,2020,8,14.819869175916061,2020-08-01
MA,2020,9,-3.4385411427385515,2020-09-01
MA,2020,10,-16.802674126789043,2020-10-01
MA,2020,11,16.871346279111275,2020-11-01
MA,2020,12,5.408018130567358,2020-12-01
MA,2021,1,-10.00333796760639,2021-01-01
MA,2021,2,12.536173424574393,2021-02-01
MA,2021,3,0.4402757486427638,2021-03-01
MA,2021,4,5.168307454350913,2021-04-01
MA,2021,5,-5.835912443582409,2021-05-01
MA,2021,6,3.139309983312265,2021-06-01
MA,2021,7,4.365224557309374,2021-07-01
MA,2021,8,-9.742638723376404,2021-08-01
MA,2021,9,3.225630490006654,2021-09-01
MA,2021,10,-7.094733582620881,2021-10-01
MA,2021,11,-7.88646624952265,2021-11-01
MA,2021,12,16.390370063917146,2021-12-01
MA,2022,1,9.360524273197532,2022-01-01
MA,2022,2,-12.60266893063019,2022-02-01
MA,2022,3,6.08942185065374,2022-03-01
MA,2022,4,0.40003646400735976,2022-04-01
MA,2022,5,-1.1733056394391583,2022-05-01
MA,2022,6,-10.866164367518575,2022-06-01
MA,2022,7,9.808730438203881,2022-07-01
MA,2022,8,-7.266663201673778,2022-08-01
MA,2022,9,-13.185693963947298,2022-09-01
MA,2022,10,16.271027139127902,2022-10-01
MA,2022,11,8.593377357897188,2022-11-01
MA,2022,12,-3.5103173684765636,2022-12-01
MA,2023,1,7.529423059111824,2023-01-01
MA,2023,2,-5.60348038896429,2023-02-01
MA,2023,3,2.924661501528468,2023-03-01
